build_id,ndcg,min_diff_pred,max_diff_pred,avg_diff_pred,stdv_diff_pred
683739035,0.9529776818048649,0,5,0.9523809523809523,1.1608699529314415
688072357,0.954655122060169,0,2,0.8571428571428571,0.7928249671720918
703066934,0.9371415985172067,0,19,1.9047619047619047,4.908204986599092
706168614,0.9478229211951849,0,3,0.6666666666666666,0.8563488385776753
707354621,0.9481811056419505,0,20,2.0952380952380953,4.6357821552005865
707534724,0.9373262666700158,0,19,2.0952380952380953,4.898007369377489
710784968,0.9321374255498112,0,19,2.0,4.381780460041329
746705132,0.944912168882156,0,19,3.135135135135135,4.164413805368331
773587767,0.9358339210150571,1,21,7.2,5.979130371550699
774241138,0.937615425575338,0,19,5.6,5.649483752226097
774251100,0.9408330872858155,0,16,3.52,3.7982452088650973
774258146,0.9396548736510658,1,16,3.84,3.6249137920783716
774258626,0.9383995098242592,0,15,3.36,3.462657938636157
774260344,0.9373427629517785,0,12,3.04,3.075169372029233
774266440,0.9233245771507725,0,13,4.24,3.218177538089946
774266796,0.9139048767868562,0,17,5.76,4.5025918461851875
774371009,0.9084764046024535,0,14,4.88,3.655133376499413
774445831,0.9148252425345469,0,9,2.64,2.6121510931286753
774445899,0.892009954969048,0,14,3.52,3.4171137918814862
774446822,0.90167427130039,0,16,3.68,3.965686153324121
774584481,0.876236389795229,0,15,3.68,3.976179070414209
774588572,0.8763458152034839,0,9,3.2,2.8722813232690143
774588679,0.8783254777328794,0,11,3.6842105263157894,3.43272861307068
774588803,0.8926280081946262,0,7,2.72,2.5903667693977237
774589874,0.8522632994441249,0,15,4.64,3.7625346067068492
774590033,0.8909703907952679,0,15,4.16,3.5199431813596083
774601140,0.8914127702614167,0,14,4.16,3.5786403377074185
774602173,0.8641380154322054,0,15,4.32,3.92343387013638
774605807,0.8616468218870578,0,15,4.24,3.9505273909525886
774616590,0.867810974094783,0,14,4.64,3.6386810797320503
774616816,0.8634569581982886,0,13,4.64,3.3773757070640906
774620167,0.8627989102475573,0,11,4.32,2.9821692328460054
774621349,0.8464418712188622,0,14,4.24,3.688721549082645
774621409,0.8219077920367407,0,18,5.52,4.628894756490653
